datetime,symbol,exchtime,localtime,last_prc,status,prev_close,open,high,low,high_limited,low_limited,volume,turnover,num_trades,weighted_ask_prc,weighted_bid_prc,total_ask_vol,total_bid_vol,ask_prc1,ask_vol1,bid_prc1,bid_vol1,ask_prc2,ask_vol2,bid_prc2,bid_vol2,ask_prc3,ask_vol3,bid_prc3,bid_vol3,ask_prc4,ask_vol4,bid_prc4,bid_vol4,ask_prc5,ask_vol5,bid_prc5,bid_vol5,ask_prc6,ask_vol6,bid_prc6,bid_vol6,ask_prc7,ask_vol7,bid_prc7,bid_vol7,ask_prc8,ask_vol8,bid_prc8,bid_vol8,ask_prc9,ask_vol9,bid_prc9,bid_vol9,ask_prc10,ask_vol10,bid_prc10,bid_vol10,num
2019-06-11 13:16:18.000,000001.SZ,1.56023E+15,1.56023E+15,12.64,79,12.34,12.34,12.72,12.3,13.57,11.11,85781255,1077202176,35198,12.94,12.25,15197874,9550589,12.64,67800,12.63,70300,12.65,85300,12.62,94800,12.66,114600,12.61,22700,12.67,111500,12.6,132000,12.68,171200,12.59,94800,12.69,106900,12.58,298200,12.7,527100,12.57,70700,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71017134
2019-06-11 13:16:21.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85787455,1077280538,35203,12.94,12.25,15195974,9551589,12.64,63100,12.63,71200,12.65,86800,12.62,94800,12.66,114600,12.61,22700,12.67,111500,12.6,132000,12.68,171200,12.59,94800,12.69,106900,12.58,298200,12.7,528100,12.57,70800,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71035374
2019-06-11 13:16:24.000,000001.SZ,1.56023E+15,1.56023E+15,12.64,79,12.34,12.34,12.72,12.3,13.57,11.11,85796155,1077390478,35208,12.94,12.24,15190574,9547889,12.64,57200,12.63,77500,12.65,86800,12.62,94800,12.66,114600,12.61,22100,12.67,111500,12.6,122000,12.68,171200,12.59,94800,12.69,106900,12.58,298200,12.7,528600,12.57,70800,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71054623
2019-06-11 13:16:27.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85797355,1077405634,35209,12.94,12.24,15188274,9504889,12.64,57200,12.63,79500,12.65,96800,12.62,94800,12.66,116100,12.61,27100,12.67,111500,12.6,72000,12.68,171200,12.59,94800,12.69,112900,12.58,298200,12.7,528600,12.57,70800,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71073899
2019-06-11 13:16:30.000,000001.SZ,1.56023E+15,1.56023E+15,12.64,79,12.34,12.34,12.72,12.3,13.57,11.11,85806255,1077518127,35214,12.94,12.24,15193974,9504589,12.64,49800,12.63,79200,12.65,105200,12.62,94800,12.66,120800,12.61,27100,12.67,111500,12.6,72000,12.68,171200,12.59,94800,12.69,112900,12.58,298200,12.7,528600,12.57,70800,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71092092
2019-06-11 13:16:33.000,000001.SZ,1.56023E+15,1.56023E+15,12.64,79,12.34,12.34,12.72,12.3,13.57,11.11,85857355,1078163573,35225,12.94,12.24,15231274,9458089,12.64,84500,12.63,33400,12.65,106200,12.62,94600,12.66,122400,12.61,27100,12.67,111500,12.6,72000,12.68,171200,12.59,94800,12.69,112900,12.58,298200,12.7,528600,12.57,70800,12.71,254028,12.56,257600,12.72,518583,12.55,266116,12.73,239200,12.54,79473,71111255
2019-06-11 13:16:36.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85878955,1078436383,35239,12.94,12.24,15236074,9431889,12.64,84300,12.63,12000,12.65,106000,12.62,89500,12.66,122400,12.61,27100,12.67,111500,12.6,72000,12.68,171200,12.59,94800,12.69,112900,12.58,298200,12.7,530200,12.57,70800,12.71,254028,12.56,257600,12.72,519083,12.55,266116,12.73,239200,12.54,79473,71129768
2019-06-11 13:16:39.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85886255,1078528606,35246,12.94,12.24,15239674,9430189,12.64,89900,12.63,10900,12.65,101000,12.62,90700,12.66,122400,12.61,27100,12.67,111500,12.6,73100,12.68,171200,12.59,94800,12.69,112900,12.58,298200,12.7,530200,12.57,72100,12.71,254028,12.56,257600,12.72,522083,12.55,264116,12.73,239200,12.54,79473,71149448
2019-06-11 13:16:42.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85907355,1078795188,35259,12.94,12.24,15249874,9418789,12.63,2000,12.62,90700,12.64,89600,12.61,27100,12.65,109300,12.6,72600,12.66,122400,12.59,94800,12.67,111500,12.58,298200,12.68,171200,12.57,72100,12.69,112900,12.56,257600,12.7,530200,12.55,264116,12.71,254028,12.54,79473,12.72,522283,12.53,229200,71170584
2019-06-11 13:16:45.000,000001.SZ,1.56023E+15,1.56023E+15,12.63,79,12.34,12.34,12.72,12.3,13.57,11.11,85907355,1078795188,35259,12.94,12.24,15325274,9419889,12.63,75500,12.62,90700,12.64,89600,12.61,27100,12.65,109300,12.6,72600,12.66,122900,12.59,94800,12.67,111500,12.58,298200,12.68,172600,12.57,72100,12.69,112900,12.56,257600,12.7,530200,12.55,264116,12.71,254028,12.54,79473,12.72,522283,12.53,229200,71191609
